,0,non_dw,dw
0,0,24986,23760
1,000010,24584,23684
2,000020,24184,23624
3,000030,23740,23536
4,000040,23256,23447
5,000050,22701,23372
6,000060,22168,23295
7,000070,21602,23220
8,000080,21018,23126
9,000090,20380,23033
10,000100,19811,22937
11,000200,14720,21656
12,000300,12064,20230
13,000400,10772,18956
14,000500,10186,17942
15,000600,9842,17137
16,000700,9646,16484
17,000800,9517,15984
18,000900,9412,15632
19,001,9336,15319
20,002,8777,14258
21,003,8378,13928
22,004,8001,13674
23,005,7660,13439
24,006,7327,13210
25,007,7027,13009
26,008,6738,12808
27,009,6438,12620
28,01,6221,12432
29,011,6001,12270
30,012,5755,12100
31,013,5449,11953
32,014,5134,11782
33,015,4878,11615
34,016,4607,11499
35,017,4363,11375
36,018,4126,11241
37,019,3869,11111
38,02,3628,10985
39,021,3394,10893
40,022,3199,10785
41,023,2980,10650
42,024,2784,10581
43,025,2553,10492
44,026,2327,10384
45,027,2131,10294
46,028,1955,10178
47,029,1771,10118
48,03,1607,10017
49,031,1448,9929
50,032,1318,9844
51,033,1181,9787
52,034,1056,9711
53,035,921,9605
54,036,820,9540
55,037,719,9472
56,038,630,9456
57,039,554,9428
58,04,491,9357
59,041,424,9272
60,042,366,9197
61,043,313,9101
62,044,276,9047
63,045,238,8958
64,046,205,8875
65,047,171,8794
66,048,152,8707
67,049,133,8623
68,05,108,8555
