,Cell_Num,X,Y,ClassName,Prob
206,207,22637.81668874172,24220.798675496688,Astrocyte,0.9999825137286337
902,903,16932.572093023256,24833.878139534885,Astrocyte,0.9998507379661489
918,919,6888.875776397515,24850.974590626764,Astrocyte,0.7885038245277295
929,930,8181.150579150579,24848.779922779922,Astrocyte,0.9709490781484652
935,936,6186.303367806948,24865.561654733494,Astrocyte,0.9999822416548887
1908,1909,4719.40606060606,25707.096363636363,Astrocyte,0.9999860945264603
1903,1904,19472.060236220474,25707.511023622046,Astrocyte,0.9999958561309893
1902,1903,12856.522088353413,25705.449512335053,Astrocyte,0.9999999973165861
952,953,4820.340074906367,24878.489887640448,Astrocyte,0.9683593755390697
240,241,15265.369241672573,24247.952515946137,Astrocyte,0.9861751941326259
1897,1898,10323.219375500401,25691.55164131305,Astrocyte,0.9999993136303963
982,983,9785.408612440191,24912.10813397129,Astrocyte,0.9995528322875629
987,988,4387.1283394447355,24918.364064955473,Astrocyte,0.9999991059867991
235,236,23723.788707280833,24258.064784546805,Astrocyte,0.6744479144851022
995,996,24268.90737833595,24931.10596546311,Astrocyte,0.9999999999999998
229,230,13492.633648943918,24250.72505462491,Astrocyte,0.9999999960751016
260,261,6330.868248517016,24284.812363409303,Astrocyte,0.9999975749625729
1892,1893,4767.854422964265,25706.52021089631,Astrocyte,0.9999957415645166
900,901,17428.079254079254,24842.610722610723,Astrocyte,0.9999995546125283
1919,1920,28433.9052532833,25720.965290806755,Astrocyte,0.999999997831168
281,282,24952.978574867597,24301.296822339915,Astrocyte,0.4629244970975339
848,849,7026.959217644611,24799.062421972536,Astrocyte,0.999999753276068
857,858,28856.9439124487,24801.246922024624,Astrocyte,0.633561756784683
859,860,8349.944964871194,24810.800156128025,Astrocyte,0.9999735527947258
863,864,7072.896371704516,24824.256329939963,Astrocyte,0.9999945685134238
864,865,8515.470806302132,24821.20142106889,Astrocyte,0.9999999985534245
869,870,3694.132057416268,24806.943540669858,Astrocyte,0.9997010808127678
874,875,10133.766739846324,24813.45993413831,Astrocyte,0.7007896232182228
877,878,22463.389473684212,24815.03971291866,Astrocyte,0.9999997598251429
880,881,33874.80306564479,24820.23592135955,Astrocyte,0.9997499504593216
884,885,24575.2,24812.879611650485,Astrocyte,0.38827277315729974
889,890,8559.058954890575,24830.373380973648,Astrocyte,0.9999974274203051
891,892,22733.16202582728,24840.50363196126,Astrocyte,0.9999999999814959
896,897,28161.180832857957,24833.977181973758,Astrocyte,0.9990046027604016
897,898,9957.261203585147,24828.166453265047,Astrocyte,0.9966064154467115
262,263,9326.611633372502,24274.480611045827,Astrocyte,0.9999523557670439
1926,1927,7708.506104765655,25728.233162662465,Astrocyte,0.9999871847001678
1890,1891,10404.008387698042,25686.22273998136,Astrocyte,0.9997055562967745
1884,1885,10194.877762430939,25690.668508287294,Astrocyte,0.9999728941339728
1854,1855,22674.64279766861,25659.44962531224,Astrocyte,0.9999999994281561
1851,1852,10058.747508305647,25654.0573089701,Astrocyte,0.999986670934293
1167,1168,9110.514638732206,25072.888530754768,Astrocyte,0.999999976109576
1180,1181,8506.721921921922,25069.115915915914,Astrocyte,0.9999999982374237
1842,1843,27489.177606177607,25661.45945945946,Astrocyte,0.9879244157885371
2093,2094,33289.996915959906,25878.54356206631,Astrocyte,0.995212017145656
177,178,8191.962554008642,24191.748919827172,Astrocyte,0.9995630800697947
2097,2098,13782.829594477998,25890.193701466782,Astrocyte,0.9996491808635042
170,171,3540.0614927905003,24166.78117048346,Astrocyte,0.9999304520797704
1215,1216,18996.314439140813,25107.900357995226,Astrocyte,0.9947665576402429
1218,1219,16729.06828003457,25092.686257562662,Astrocyte,0.8943421180988185
166,167,12206.27849264706,24148.792279411766,Astrocyte,0.9999752888864528
1220,1221,28171.746829268293,25100.43024390244,Astrocyte,0.9711000860524275
159,160,5167.899505138942,24155.70688998858,Astrocyte,0.999649209144742
1243,1244,24464.97507788162,25105.61370716511,Astrocyte,0.9457741236349941
187,188,24483.91489925769,24211.352067868505,Astrocyte,0.9996602780146476
1018,1019,32846.83043105909,24964.755067085356,Astrocyte,0.9999995917609473
1147,1148,7546.7832042882665,25054.19148302561,Astrocyte,0.9999999248765673
1143,1144,24889.887572533848,25055.102756286266,Astrocyte,0.9999999999099842
1883,1884,10128.833200953137,25687.29745830024,Astrocyte,0.9998627846770923
213,214,13441.373741441805,24229.087797019733,Astrocyte,0.9984196584573951
1057,1058,23400.638364779876,24985.495108315863,Astrocyte,0.999962921484875
1068,1069,30366.44738873167,24998.334962696168,Astrocyte,0.9999999958316714
209,210,8964.90491339696,24223.56486390951,Astrocyte,0.9999785291058034
207,208,24155.171881886294,24216.282944028208,Astrocyte,0.9973491582405964
2036,2037,7248.630468347916,25829.19145651055,Astrocyte,0.9999987418641327
204,205,9351.46830530401,24205.009055627426,Astrocyte,0.9881525454356808
1079,1080,20178.855305466237,24989.66988210075,Astrocyte,0.8852796220450757
1108,1109,4719.880222841226,25011.57660167131,Astrocyte,0.7346576190096148
1109,1110,7464.331611570248,25024.54054752066,Astrocyte,0.999999999969541
1113,1114,14448.335554684438,25025.2285378283,Astrocyte,0.9999999417697792
1120,1121,11365.042799305957,25041.72990167727,Astrocyte,0.9999999998283224
1126,1127,30441.21875,25033.27104591837,Astrocyte,0.43218632548142266
1863,1864,10955.07631954351,25672.177960057063,Astrocyte,0.7780868403900916
1855,1856,17162.019556714473,25661.507170795307,Astrocyte,0.999999692536441
1245,1246,23878.881462505822,25123.838146250582,Astrocyte,0.9995316158931765
1928,1929,28307.226948152747,25737.261099037565,Astrocyte,0.9996673841432598
1930,1931,10478.342402123424,25730.419376244194,Astrocyte,0.9999999997037776
578,579,27026.500629722923,24543.841309823678,Astrocyte,0.9983640595123537
579,580,1940.545112781955,24530.59147869674,Astrocyte,0.9029353991237181
371,372,18108.4047829938,24356.92116917626,Astrocyte,0.9999998053227978
585,586,12728.678035871802,24552.211996471626,Astrocyte,0.9997420479743042
367,368,32859.09969040248,24358.61238390093,Astrocyte,0.9620938505332275
590,591,37176.25153846154,24542.826923076922,Astrocyte,0.9901801450387985
599,600,26964.658620689654,24542.43448275862,Astrocyte,0.6118455547884041
362,363,11787.714574898786,24358.475033738192,Astrocyte,0.7898844346798589
607,608,27702.214233308878,24570.629493763758,Astrocyte,0.9996003000878936
1988,1989,14765.91974317817,25779.422552166936,Astrocyte,0.9999999999949378
614,615,5110.179300291546,24576.700874635568,Astrocyte,0.9999806324435592
618,619,26963.59487534626,24579.556094182826,Astrocyte,0.9999999968561322
354,355,20973.561495176848,24354.76487138264,Astrocyte,0.9999999840499316
353,354,18480.06169354839,24356.193951612902,Astrocyte,0.9926079823798831
352,353,11917.165789473684,24355.316315789474,Astrocyte,0.6998421827784799
569,570,19762.012720848055,24537.893992932863,Astrocyte,0.9999999953645853
631,632,6506.261270491803,24590.030737704918,Astrocyte,0.9995109345259648
1995,1996,3236.518221124151,25785.226065472514,Astrocyte,0.995723947050235
557,558,13277.820887142056,24521.8354856822,Astrocyte,0.9999989975648323
410,411,18647.987717502558,24395.979017400205,Astrocyte,0.9999876493698348
433,434,22998.300715990452,24411.470962609386,Astrocyte,0.9916398372962484
2028,2029,21080.95848434926,25827.122899505765,Astrocyte,0.9999999999992852
451,452,8020.908976510067,24422.962667785236,Astrocyte,0.9999969642237012
455,456,21853.528301886792,24419.744872846597,Astrocyte,0.8469995233034681
2024,2025,10349.752604166666,25804.684895833332,Astrocyte,0.9953291882621436
465,466,33300.97146254459,24423.907847800238,Astrocyte,0.9967253852606566
475,476,33414.49388928828,24451.349149293073,Astrocyte,0.9999999906991485
487,488,11255.134092346616,24459.534155597725,Astrocyte,0.999999999998727
488,489,8326.570955730243,24459.122465866778,Astrocyte,0.9635616556668261
490,491,33214.18188622755,24459.25,Astrocyte,0.965548973115415
493,494,27228.705492888672,24466.767533104463,Astrocyte,0.9999999999960947
503,504,5928.047972304649,24467.200791295745,Astrocyte,0.9998023969070258
2004,2005,7480.741310160428,25805.8126114082,Astrocyte,0.9999999999725231
379,380,29453.99150350942,24378.74806058367,Astrocyte,0.9999017605031367
561,562,7232.694560669456,24517.5,Astrocyte,0.9842949999689403
839,840,16603.96665389038,24790.866615561517,Astrocyte,0.9999930819938386
349,350,1937.3008008008007,24355.225225225226,Astrocyte,0.7489048574271923
639,640,4681.59219858156,24593.89952718676,Astrocyte,0.9995240310172416
758,759,13672.803458213257,24696.63688760807,Astrocyte,0.9995877638791563
760,761,13589.14250207125,24709.026926263465,Astrocyte,0.9999998713572126
1949,1950,18811.060922063665,25740.504939626782,Astrocyte,0.999999964593096
769,770,28046.086876832844,24720.594941348972,Astrocyte,0.9999971861072475
774,775,18023.74378317966,24727.050013970384,Astrocyte,0.9999999999961917
298,299,26198.638832116787,24310.88408759124,Astrocyte,0.9999999999991194
779,780,17014.324297188756,24722.16516064257,Astrocyte,0.998819668308537
2059,2060,28140.91898428053,25851.859129383312,Astrocyte,0.9735926193914225
1945,1946,14368.217134416544,25741.827917282128,Astrocyte,0.9999174047543129
802,803,12542.930760499432,24751.50227014756,Astrocyte,0.9999999991958564
823,824,22471.88277511962,24761.79366028708,Astrocyte,0.9999999998801663
826,827,22103.379456706283,24764.069609507642,Astrocyte,0.9954365444288676
2062,2063,28175.146397255052,25863.088448341594,Astrocyte,0.9999999559283649
831,832,15624.844444444445,24790.111706349206,Astrocyte,0.9999999988347548
286,287,14866.098655913978,24304.02930107527,Astrocyte,0.9999993016367937
1956,1957,8223.977192506109,25766.00923160467,Astrocyte,0.9999998816983964
1980,1981,4777.142755174875,25769.102069950037,Astrocyte,0.9999943458908889
736,737,20849.718446601943,24674.091019417476,Astrocyte,0.9999999879370921
731,732,4928.316995205115,24677.87799680341,Astrocyte,0.8083272119846969
645,646,13442.35397367138,24611.429790346174,Astrocyte,0.9999956751235459
340,341,32803.80591775326,24340.685055165497,Astrocyte,0.9999904239040046
339,340,29829.51415525114,24351.72283105023,Astrocyte,0.9930420104802724
648,649,28187.905746176108,24605.710624224885,Astrocyte,0.9999899007171952
668,669,18339.427703875073,24633.512434933487,Astrocyte,0.9999980405603819
1972,1973,22432.265255573067,25778.107858590407,Astrocyte,0.9999998100087802
682,683,7455.8125,24635.339285714286,Astrocyte,0.9999421084507841
2055,2056,6927.388571428572,25844.200714285715,Astrocyte,0.9821304871276024
696,697,13505.975548589342,24644.88213166144,Astrocyte,0.9997017288912899
699,700,19541.44941394201,24664.62338062924,Astrocyte,0.9999732391746394
320,321,9875.63870967742,24331.470381231673,Astrocyte,0.9999680680867655
709,710,13475.397696105321,24663.077345035654,Astrocyte,0.9328082633883908
317,318,22318.90322580645,24331.143263757116,Astrocyte,0.9928358131281471
710,711,7004.878559914025,24656.45351961311,Astrocyte,0.9833311928602052
1963,1964,6577.127239036442,25758.636812847435,Astrocyte,0.9715755653539786
309,310,17773.152324959916,24320.615179048636,Astrocyte,0.9866495000712278
1254,1255,4281.96743486974,25138.530811623248,Astrocyte,0.2052424771108896
422,423,19965.209630064594,24394.90369935408,Astrocyte,0.8999473070773084
1775,1776,11225.263463892288,25597.50305997552,Astrocyte,0.9999999999284375
2120,2121,11550.142599277979,25913.59476534296,Astrocyte,0.9999999999999643
1400,1401,17976.589837771655,25257.459136822774,Astrocyte,0.999999999999172
