,Cell_Num,X,Y,ClassName,Prob
614,615,5110.179300291546,24576.700874635568,Astrocyte,0.9999965615609508
1825,1826,28618.660757453665,25648.225355895782,Astrocyte,0.9932002055611738
699,700,19541.44941394201,24664.62338062924,Astrocyte,0.9999728092629051
1335,1336,6673.996215704825,25203.050457269,Astrocyte,0.9875642081551489
1336,1337,9696.165596919127,25193.093709884466,Astrocyte,0.8060619309809882
1842,1843,27489.177606177607,25661.45945945946,Astrocyte,0.9942977695518582
682,683,7455.8125,24635.339285714286,Astrocyte,0.993359153200725
2074,2075,7595.724494706448,25874.22690086622,Astrocyte,0.9569279800635763
1439,1440,11191.040693293142,25279.03730218538,Astrocyte,0.9993705408744801
668,669,18339.427703875073,24633.512434933487,Astrocyte,0.997798653904081
1851,1852,10058.747508305647,25654.0573089701,Astrocyte,0.9841196977131887
1345,1346,18537.596509240248,25202.101642710473,Astrocyte,0.9901607228053537
1854,1855,22674.64279766861,25659.44962531224,Astrocyte,0.9999989519246741
170,171,3540.0614927905003,24166.78117048346,Astrocyte,0.9919854645123767
1855,1856,17162.019556714473,25661.507170795307,Astrocyte,0.9999314903406675
648,649,28187.905746176108,24605.710624224885,Astrocyte,0.9763526749090332
645,646,13442.35397367138,24611.429790346174,Astrocyte,0.9999890504243079
2062,2063,28175.146397255052,25863.088448341594,Astrocyte,0.9999738735629927
187,188,24483.91489925769,24211.352067868505,Astrocyte,0.999942540984202
1353,1354,3799.3541260558804,25207.32423651722,Astrocyte,0.9999926512627069
618,619,26963.59487534626,24579.556094182826,Astrocyte,0.9999924546506354
1354,1355,9732.511111111111,25199.27288888889,Astrocyte,0.9974865642998653
736,737,20849.718446601943,24674.091019417476,Astrocyte,0.931166115652369
607,608,27702.214233308878,24570.629493763758,Astrocyte,0.9990713259330768
1809,1810,7565.998552821997,25621.32018813314,Astrocyte,0.9976582997475357
760,761,13589.14250207125,24709.026926263465,Astrocyte,0.9368724029076427
1515,1516,9027.065342394146,25345.84474647151,Astrocyte,0.9999638058365669
896,897,28161.180832857957,24833.977181973758,Astrocyte,0.6339588606257778
